taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
4793090	Pegohylemyia endotylata Deng, Li & Liu, 1996	1575625	Botanophila endotylata (Deng, Li & Liu, 1996)	2	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Botanophila	1575362	Botanophila endotylata	1575625	
1573883	Eutrichota hamata Qian & Fan, 1981	1573883	Eutrichota hamata Qian & Fan, 1981	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Eutrichota	1573730	Eutrichota hamata	1573883	
5766609	Egle cyrtacra Fan & Wang, 1982	5766608	Egle subarctica (Huckett, 1965)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Egle	1573618	Egle subarctica	5766608	
1576088	Pegomya crinisternita Fan, Fan & Ma, 1988	1576088	Pegomya crinisternita Fan, Fan & Ma, 1988	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Pegomya	1575904	Pegomya crinisternita	1576088	
1575920	Pegomya spatulans Deng, Li & Sun	1575920	Pegomya spatulans Deng, Li & Sun	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Pegomya	1575904	Pegomya spatulans	1575920	
1573815	Eutrichota shandanensis Jin, 1985	1573815	Eutrichota shandanensis Jin, 1985	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Eutrichota	1573730	Eutrichota shandanensis	1573815	
11201763	Delia sinuiforcipis Zhong, 1985	11201763	Delia sinuiforcipis Zhong, 1985	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Delia	1573993	Delia sinuiforcipis	11201763	
4793103	Pegohylemyia trinivittata Zheng & Fan, 1990	1575429	Botanophila trinivittata (Zheng & Fan, 1990)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Botanophila	1575362	Botanophila trinivittata	1575429	
1575954	Pegomya maniceiformis Feng, Liu & Zhou, 1984	1575954	Pegomya maniceiformis Feng, Liu & Zhou, 1984	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Pegomya	1575904	Pegomya maniceiformis	1575954	
1576293	Pegomya dictenata Deng & Li, 1988	1576293	Pegomya dictenata Deng & Li, 1988	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Pegomya	1575904	Pegomya dictenata	1576293	
5077454	Delia quadrilateralis Fan & Zhong, 1982	5077454	Delia quadrilateralis Fan & Zhong, 1982	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Delia	1573993	Delia quadrilateralis	5077454	
