LocationID,Locality,District,Longitude,Latitude,ScientificName,Family,Genus,SpecificEpithet,TaxonRank,GrowthForm,Plant_NativenessStatus,SourceID
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Citrus japonica Thunb.,Rutaceae,Citrus,japonica,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Citrus reticulata Blanco,Rutaceae,Citrus,reticulata,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Clerodendrum bungei Steud.,Lamiaceae,Clerodendrum,bungei,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Clerodendrum trichotomum Thunb.,Lamiaceae,Clerodendrum,trichotomum,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Cornus alba L.,Cornaceae,Cornus,alba,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Cornus kousa subsp. chinensis (Osborn) Q.Y.Xiang,Cornaceae,Cornus,kousa,Subspecies,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Cornus walteri Wangerin,Cornaceae,Cornus,walteri,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Cryptomeria japonica (Thunb. ex L.f.) D.Don,Cupressaceae,Cryptomeria,japonica,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Cupressus funebris Endl.,Cupressaceae,Cupressus,funebris,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Cupressus lusitanica Mill.,Cupressaceae,Cupressus,lusitanica,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Cycas revoluta Thunb.,Cycadaceae,Cycas,revoluta,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Deutzia ningpoensis Rehder,Hydrangeaceae,Deutzia,ningpoensis,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Diospyros kaki L.f.,Ebenaceae,Diospyros,kaki,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Distylium racemosum Siebold & Zucc.,Hamamelidaceae,Distylium,racemosum,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Edgeworthia tomentosa (Thunb.) Nakai,Thymelaeaceae,Edgeworthia,tomentosa,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Elaeagnus pungens Thunb.,Elaeagnaceae,Elaeagnus,pungens,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Elaeocarpus sylvestris (Lour.) Poir.,Elaeocarpaceae,Elaeocarpus,sylvestris,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Eriobotrya japonica (Thunb.) Lindl.,Rosaceae,Eriobotrya,japonica,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Eucommia ulmoides Oliv.,Eucommiaceae,Eucommia,ulmoides,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Euonymus japonicus Thunb.,Celastraceae,Euonymus,japonicus,Species,Shrub,Nonnative,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Euonymus japonicus 'Marginatus',Celastraceae,Euonymus,japonicus,Cultivar,Shrub,Nonnative,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Euonymus maackii Rupr.,Celastraceae,Euonymus,maackii,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Exochorda racemosa (Lindl.) Rehder,Rosaceae,Exochorda,racemosa,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Farfugium japonicum (L.) Kitam.,Compositae,Farfugium,japonicum,Species,Herb,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Fatsia japonica (Thunb.) Decne. & Planch.,Araliaceae,Fatsia,japonica,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Ficus carica L.,Moraceae,Ficus,carica,Species,Shrub,Nonnative,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Firmiana simplex (L.) W.Wight,Malvaceae,Firmiana,simplex,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Forsythia viridissima Lindl.,Oleaceae,Forsythia,viridissima,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Fraxinus chinensis Roxb.,Oleaceae,Fraxinus,chinensis,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Gardenia jasminoides J.Ellis,Rubiaceae,Gardenia,jasminoides,Species,Shrub,Nonnative,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Gardenia stenophylla Merr.,Rubiaceae,Gardenia,stenophylla,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Ginkgo biloba L.,Ginkgoaceae,Ginkgo,biloba,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Hedera helix L.,Araliaceae,Hedera,helix,Species,Shrub,Nonnative,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Hibiscus mutabilis L.,Malvaceae,Hibiscus,mutabilis,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Hibiscus syriacus L.,Malvaceae,Hibiscus,syriacus,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Hosta ventricosa Stearn,Asparagaceae,Hosta,ventricosa,Species,Herb,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Hydrangea macrophylla (Thunb.) Ser.,Hydrangeaceae,Hydrangea,macrophylla,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Hypericum monogynum L.,Hypericaceae,Hypericum,monogynum,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Ilex cornuta Lindl. & Paxton,Aquifoliaceae,Ilex,cornuta,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Ilex crenata f. convexa (Makino) Rehder,Aquifoliaceae,Ilex,crenata,Forma,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Iris japonica Thunb.,Iridaceae,Iris,japonica,Species,Herb,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Iris pseudacorus L.,Iridaceae,Iris,pseudacorus,Species,Herb,Nonnative,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Iris tectorum Maxim.,Iridaceae,Iris,tectorum,Species,Herb,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Jasminum floridum Bunge,Oleaceae,Jasminum,floridum,Species,Shrub,Nonnative,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Jasminum mesnyi Hance,Oleaceae,Jasminum,mesnyi,Species,Shrub,Nonnative,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Jasminum nudiflorum Lindl.,Oleaceae,Jasminum,nudiflorum,Species,Shrub,Nonnative,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Juglans mandshurica Maxim.,Juglandaceae,Juglans,mandshurica,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Juniperus chinensis L.,Cupressaceae,Juniperus,chinensis,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Kerria japonica (L.) DC.,Rosaceae,Kerria,japonica,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Kerria japonica f. pleniflora (Witte) Rehder,Rosaceae,Kerria,japonica,Forma,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Koelreuteria bipinnata Franch.,Sapindaceae,Koelreuteria,bipinnata,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Lagerstroemia indica L.,Lythraceae,Lagerstroemia,indica,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Laurus nobilis L.,Lauraceae,Laurus,nobilis,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Ligustrum japonicum Thunb.,Oleaceae,Ligustrum,japonicum,Species,Shrub,Nonnative,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Ligustrum lucidum W.T.Aiton,Oleaceae,Ligustrum,lucidum,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Ligustrum quihoui Carrière,Oleaceae,Ligustrum,quihoui,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Ligustrum sinense Lour.,Oleaceae,Ligustrum,sinense,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Liquidambar formosana Hance,Altingiaceae,Liquidambar,formosana,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Liriodendron chinense (Hemsl.) Sarg.,Magnoliaceae,Liriodendron,chinense,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Liriope muscari (Decne.) L.H.Bailey,Asparagaceae,Liriope,muscari,Species,Herb,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Loropetalum chinense var. rubrum Yieh,Hamamelidaceae,Loropetalum,chinense,Varietas,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Lycoris radiata (L'Hér.) Herb.,Amaryllidaceae,Lycoris,radiata,Species,Herb,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Machilus thunbergii Siebold & Zucc.,Lauraceae,Machilus,thunbergii,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Magnolia chapensis (Dandy) Sima,Magnoliaceae,Magnolia,chapensis,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Magnolia denudata Desr.,Magnoliaceae,Magnolia,denudata,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Magnolia denudata 'Fei Huang',Magnoliaceae,Magnolia,denudata,Cultivar,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Magnolia figo (Lour.) DC.,Magnoliaceae,Magnolia,figo,Species,Shrub,Nonnative,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Magnolia grandiflora L.,Magnoliaceae,Magnolia,grandiflora,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Magnolia liliiflora Desr.,Magnoliaceae,Magnolia,liliiflora,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Magnolia soulangeana Soul.-Bod.,Magnoliaceae,Magnolia,soulangeana,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Mahonia bealei (Fortune) Pynaert,Berberidaceae,Mahonia,bealei,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Mahonia fortunei (Lindl.) Fedde,Berberidaceae,Mahonia,fortunei,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Malus halliana Koehne,Rosaceae,Malus,halliana,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Malus manshurica (Maxim.) Kom. ex Skvortsov,Rosaceae,Malus,manshurica,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Malus micromalus Makino,Rosaceae,Malus,micromalus,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Melia azedarach L.,Meliaceae,Melia,azedarach,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Metasequoia glyptostroboides Hu & W.C.Cheng,Cupressaceae,Metasequoia,glyptostroboides,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Morus alba L.,Moraceae,Morus,alba,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Musa basjoo Siebold & Zucc. ex Iinuma,Musaceae,Musa,basjoo,Species,Herb,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Myrica rubra (Lour.) Siebold & Zucc.,Myricaceae,Myrica,rubra,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Nandina domestica Thunb.,Berberidaceae,Nandina,domestica,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Nelumbo nucifera Gaertn.,Nelumbonaceae,Nelumbo,nucifera,Species,Herb,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Neolitsea aurata var. chekiangensis (Nakai) Yen C. Yang & P.H. Huang,Lauraceae,Neolitsea,aurata,Varietas,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Nerium oleander L.,Apocynaceae,Nerium,oleander,Species,Shrub,Nonnative,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Nymphaea alba L.,Nymphaeaceae,Nymphaea,alba,Species,Herb,Nonnative,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Olea europaea L.,Oleaceae,Olea,europaea,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Ophiopogon bodinieri H.Lév.,Asparagaceae,Ophiopogon,bodinieri,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Osmanthus fragrans Lour.,Oleaceae,Osmanthus,fragrans,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Osmanthus heterophyllus (G.Don) P.S.Green,Oleaceae,Osmanthus,heterophyllus,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Oxalis debilis var. corymbosa (DC.) Lourteig,Oxalidaceae,Oxalis,debilis,Varietas,Herb,Nonnative,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Paeonia suffruticosa Andrews,Paeoniaceae,Paeonia,suffruticosa,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Paulownia fortunei (Seem.) Hemsl.,Paulowniaceae,Paulownia,fortunei,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Phoebe sheareri (Hemsl.) Gamble,Lauraceae,Phoebe,sheareri,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Phoenix canariensis Chabaud,Arecaceae,Phoenix,canariensis,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Photinia bodinieri H.L?v.,Rosaceae,Photinia,bodinieri,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Photinia fraseri Dress,Rosaceae,Photinia,fraseri,Species,Shrub,Nonnative,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Pinus elliottii Engelm.,Pinaceae,Pinus,elliottii,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Pinus parviflora Siebold & Zucc.,Pinaceae,Pinus,parviflora,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Pinus thunbergii Parl.,Pinaceae,Pinus,thunbergii,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Pittosporum tobira (Thunb.) W.T.Aiton,Pittosporaceae,Pittosporum,tobira,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Platanus acerifolia (Aiton) Willd.,Platanaceae,Platanus,acerifolia,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Platycladus orientalis (L.) Franco,Cupressaceae,Platycladus,orientalis,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Podocarpus chinensis Wall. ex J.Forbes,Podocarpaceae,Podocarpus,chinensis,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Minhang District,121.453100,31.031800,Podocarpus macrophyllus (Thunb.) Sweet,Podocarpaceae,Podocarpus,macrophyllus,Species,Tree,Native,48
