LocationID,Locality,District,Longitude,Latitude,ScientificName,Family,Genus,SpecificEpithet,TaxonRank,Bird_MigrantStatus,Bird_SurveyTime,SourceID
388,Shanghai Bay Forest Park,Fengxian District,121.726500,30.881200,"Phoenicurus auroreus (Pallas, 1776)",Muscicapidae,Phoenicurus,auroreus,Species,M,Whole year,240
388,Shanghai Bay Forest Park,Fengxian District,121.726500,30.881200,"Zoothera dauma (Latham, 1790)",Turdidae,Zoothera,dauma,Species,M,Whole year,240
388,Shanghai Bay Forest Park,Fengxian District,121.726500,30.881200,"Turdus hortulorum (P.L.Sclater, 1863)",Turdidae,Turdus,hortulorum,Species,M,Whole year,240
388,Shanghai Bay Forest Park,Fengxian District,121.726500,30.881200,"Turdus merula (Linnaeus, 1758)",Turdidae,Turdus,merula,Species,R,Whole year,240
388,Shanghai Bay Forest Park,Fengxian District,121.726500,30.881200,"Turdus pallidus (Gmelin, 1789)",Turdidae,Turdus,pallidus,Species,M,Whole year,240
388,Shanghai Bay Forest Park,Fengxian District,121.726500,30.881200,"Turdus naumanni (Temminck, 1820)",Turdidae,Turdus,naumanni,Species,M,Whole year,240
388,Shanghai Bay Forest Park,Fengxian District,121.726500,30.881200,"Garrulax canorus (Linnaeus, 1758)",Leiothrichidae,Garrulax,canorus,Species,R,Whole year,240
388,Shanghai Bay Forest Park,Fengxian District,121.726500,30.881200,"Paradoxornis webbianus (Gould, 1852)",Paradoxornithidae,Paradoxornis,webbianus,Species,R,Whole year,240
388,Shanghai Bay Forest Park,Fengxian District,121.726500,30.881200,"Cisticola juncidis (Rafinesque, 1810)",Cisticolidae,Cisticola,juncidis,Species,R,Whole year,240
388,Shanghai Bay Forest Park,Fengxian District,121.726500,30.881200,"Prinia inornata (Sykes, 1832)",Cisticolidae,Prinia,inornata,Species,R,Whole year,240
388,Shanghai Bay Forest Park,Fengxian District,121.726500,30.881200,"Cettia canturians (Swinhoe, 1860)",Cettiidae,Cettia,canturians,Species,M,Whole year,240
388,Shanghai Bay Forest Park,Fengxian District,121.726500,30.881200,"Cettia fortipes (Hodgson, 1845)",Cettiidae,Cettia,fortipes,Species,M,Whole year,240
388,Shanghai Bay Forest Park,Fengxian District,121.726500,30.881200,"Acrocephalus arundinaceus (Linnaeus, 1758)",Acrocephalidae,Acrocephalus,arundinaceus,Species,M,Whole year,240
388,Shanghai Bay Forest Park,Fengxian District,121.726500,30.881200,"Phylloscopus proregulus (Pallas, 1811)",Phylloscopidae,Phylloscopus,proregulus,Species,M,Whole year,240
388,Shanghai Bay Forest Park,Fengxian District,121.726500,30.881200,"Phylloscopus inornatus (Blyth, 1842)",Phylloscopidae,Phylloscopus,inornatus,Species,M,Whole year,240
388,Shanghai Bay Forest Park,Fengxian District,121.726500,30.881200,"Regulus regulus (Linnaeus, 1758)",Regulidae,Regulus,regulus,Species,R,Whole year,240
388,Shanghai Bay Forest Park,Fengxian District,121.726500,30.881200,"Aegithalos concinnus (Gould, 1855)",Aegithalidae,Aegithalos,concinnus,Species,R,Whole year,240
388,Shanghai Bay Forest Park,Fengxian District,121.726500,30.881200,"Aegithalos caudatus (Linnaeus, 1758)",Aegithalidae,Aegithalos,caudatus,Species,R,Whole year,240
388,Shanghai Bay Forest Park,Fengxian District,121.726500,30.881200,"Passer montanus (Linnaeus, 1758)",Passeridae,Passer,montanus,Species,R,Whole year,240
388,Shanghai Bay Forest Park,Fengxian District,121.726500,30.881200,"Lonchura punctulata (Linnaeus, 1758)",Estrildidae,Lonchura,punctulata,Species,R,Whole year,240
388,Shanghai Bay Forest Park,Fengxian District,121.726500,30.881200,"Fringilla montifringilla (Linnaeus, 1758)",Fringillidae,Fringilla,montifringilla,Species,M,Whole year,240
388,Shanghai Bay Forest Park,Fengxian District,121.726500,30.881200,"Carduelis sinica (Linnaeus, 1766)",Fringillidae,Carduelis,sinica,Species,R,Whole year,240
388,Shanghai Bay Forest Park,Fengxian District,121.726500,30.881200,"Carduelis spinus (Linnaeus, 1758)",Fringillidae,Carduelis,spinus,Species,M,Whole year,240
388,Shanghai Bay Forest Park,Fengxian District,121.726500,30.881200,"Eophona personata (Temminck & Schlegel, 1848)",Fringillidae,Eophona,personata,Species,M,Whole year,240
388,Shanghai Bay Forest Park,Fengxian District,121.726500,30.881200,"Emberiza tristrami (Swinhoe, 1870)",Emberizidae,Emberiza,tristrami,Species,M,Whole year,240
388,Shanghai Bay Forest Park,Fengxian District,121.726500,30.881200,"Emberiza rustica (Pallas, 1776)",Emberizidae,Emberiza,rustica,Species,M,Whole year,240
388,Shanghai Bay Forest Park,Fengxian District,121.726500,30.881200,"Emberiza elegans (Temminck, 1836)",Emberizidae,Emberiza,elegans,Species,M,Whole year,240
388,Shanghai Bay Forest Park,Fengxian District,121.726500,30.881200,"Emberiza spodocephala (Pallas, 1776)",Emberizidae,Emberiza,spodocephala,Species,M,Whole year,240
389,Shanghai Botanical Garden,Xuhui District,121.471400,31.148900,"Egretta garzetta (Linnaeus, 1766)",Ardeidae,Egretta,garzetta,Species,M,Whole year,240
389,Shanghai Botanical Garden,Xuhui District,121.471400,31.148900,"Nycticorax nycticorax (Linnaeus, 1758)",Ardeidae,Nycticorax,nycticorax,Species,R,Whole year,240
389,Shanghai Botanical Garden,Xuhui District,121.471400,31.148900,"Gallinula chloropus (Linnaeus, 1758)",Rallidae,Gallinula,chloropus,Species,R,Whole year,240
389,Shanghai Botanical Garden,Xuhui District,121.471400,31.148900,"Amaurornis phoenicurus (Pennant, 1769)",Rallidae,Amaurornis,phoenicurus,Species,M,Whole year,240
389,Shanghai Botanical Garden,Xuhui District,121.471400,31.148900,"Charadrius dubius (Scopoli, 1786)",Charadriidae,Charadrius,dubius,Species,M,Whole year,240
389,Shanghai Botanical Garden,Xuhui District,121.471400,31.148900,"Tringa ochropus (Linnaeus, 1758)",Scolopacidae,Tringa,ochropus,Species,M,Whole year,240
389,Shanghai Botanical Garden,Xuhui District,121.471400,31.148900,"Actitis hypoleucos (Linnaeus, 1758)",Scolopacidae,Actitis,hypoleucos,Species,R,Whole year,240
389,Shanghai Botanical Garden,Xuhui District,121.471400,31.148900,"Stigmatopelia chinensis (Scopoli, 1768)",Columbidae,Stigmatopelia,chinensis,Species,R,Whole year,240
389,Shanghai Botanical Garden,Xuhui District,121.471400,31.148900,"Alcedo atthis (Linnaeus, 1758)",Alcedinidae,Alcedo,atthis,Species,R,Whole year,240
389,Shanghai Botanical Garden,Xuhui District,121.471400,31.148900,"Parus major (Linnaeus, 1758)",Paridae,Parus,major,Species,R,Whole year,240
389,Shanghai Botanical Garden,Xuhui District,121.471400,31.148900,"Hirundo rustica (Linnaeus, 1758)",Laridae,Hirundo,rustica,Species,M,Whole year,240
389,Shanghai Botanical Garden,Xuhui District,121.471400,31.148900,"Motacilla alba (Linnaeus, 1758)",Motacillidae,Motacilla,alba,Species,M,Whole year,240
389,Shanghai Botanical Garden,Xuhui District,121.471400,31.148900,"Anthus hodgsoni (Richmond, 1907)",Motacillidae,Anthus,hodgsoni,Species,M,Whole year,240
389,Shanghai Botanical Garden,Xuhui District,121.471400,31.148900,"Pycnonotus sinensis (Gmelin, 1789)",Pycnonotidae,Pycnonotus,sinensis,Species,R,Whole year,240
389,Shanghai Botanical Garden,Xuhui District,121.471400,31.148900,"Lanius schach (Linnaeus, 1758)",Laniidae,Lanius,schach,Species,R,Whole year,240
389,Shanghai Botanical Garden,Xuhui District,121.471400,31.148900,"Acridotheres cristatellus (Linnaeus, 1758)",Sturnidae,Acridotheres,cristatellus,Species,R,Whole year,240
389,Shanghai Botanical Garden,Xuhui District,121.471400,31.148900,"Sturnus cineraceus (Temminck, 1835)",Sturnidae,Sturnus,cineraceus,Species,M,Whole year,240
389,Shanghai Botanical Garden,Xuhui District,121.471400,31.148900,"Pica pica (Linnaeus, 1758)",Corvidae,Pica,pica,Species,R,Whole year,240
389,Shanghai Botanical Garden,Xuhui District,121.471400,31.148900,"Cyanopica cyanus (Pallas, 1776)",Corvidae,Cyanopica,cyanus,Species,R,Whole year,240
389,Shanghai Botanical Garden,Xuhui District,121.471400,31.148900,"Tarsiger cyanurus (Pallas, 1773)",Muscicapidae,Tarsiger,cyanurus,Species,M,Whole year,240
389,Shanghai Botanical Garden,Xuhui District,121.471400,31.148900,"Phoenicurus auroreus (Pallas, 1776)",Muscicapidae,Phoenicurus,auroreus,Species,M,Whole year,240
389,Shanghai Botanical Garden,Xuhui District,121.471400,31.148900,"Turdus hortulorum (P.L.Sclater, 1863)",Turdidae,Turdus,hortulorum,Species,M,Whole year,240
389,Shanghai Botanical Garden,Xuhui District,121.471400,31.148900,"Turdus merula (Linnaeus, 1758)",Turdidae,Turdus,merula,Species,R,Whole year,240
389,Shanghai Botanical Garden,Xuhui District,121.471400,31.148900,"Turdus pallidus (Gmelin, 1789)",Turdidae,Turdus,pallidus,Species,M,Whole year,240
389,Shanghai Botanical Garden,Xuhui District,121.471400,31.148900,"Turdus naumanni (Temminck, 1820)",Turdidae,Turdus,naumanni,Species,M,Whole year,240
389,Shanghai Botanical Garden,Xuhui District,121.471400,31.148900,"Garrulax canorus (Linnaeus, 1758)",Leiothrichidae,Garrulax,canorus,Species,R,Whole year,240
389,Shanghai Botanical Garden,Xuhui District,121.471400,31.148900,"Paradoxornis webbianus (Gould, 1852)",Paradoxornithidae,Paradoxornis,webbianus,Species,R,Whole year,240
389,Shanghai Botanical Garden,Xuhui District,121.471400,31.148900,"Zosterops japonicus (Temminck & Schlegel, 1845)",Zosteropidae,Zosterops,japonicus,Species,M,Whole year,240
389,Shanghai Botanical Garden,Xuhui District,121.471400,31.148900,"Phylloscopus proregulus (Pallas, 1811)",Phylloscopidae,Phylloscopus,proregulus,Species,M,Whole year,240
389,Shanghai Botanical Garden,Xuhui District,121.471400,31.148900,"Phylloscopus inornatus (Blyth, 1842)",Phylloscopidae,Phylloscopus,inornatus,Species,M,Whole year,240
389,Shanghai Botanical Garden,Xuhui District,121.471400,31.148900,"Passer montanus (Linnaeus, 1758)",Passeridae,Passer,montanus,Species,R,Whole year,240
389,Shanghai Botanical Garden,Xuhui District,121.471400,31.148900,"Carduelis sinica (Linnaeus, 1766)",Fringillidae,Carduelis,sinica,Species,R,Whole year,240
389,Shanghai Botanical Garden,Xuhui District,121.471400,31.148900,"Eophona personata (Temminck & Schlegel, 1848)",Fringillidae,Eophona,personata,Species,M,Whole year,240
390,Shanghai Century Park,Pudong New Area,121.554700,31.216500,"Tachybaptus ruficollis (Pallas, 1764)",Podicipedidae,Tachybaptus,ruficollis,Species,R,Whole year,240
390,Shanghai Century Park,Pudong New Area,121.554700,31.216500,"Egretta garzetta (Linnaeus, 1766)",Ardeidae,Egretta,garzetta,Species,M,Whole year,240
390,Shanghai Century Park,Pudong New Area,121.554700,31.216500,"Ardeola bacchus (Bonaparte, 1855)",Ardeidae,Ardeola,bacchus,Species,M,Whole year,240
390,Shanghai Century Park,Pudong New Area,121.554700,31.216500,"Nycticorax nycticorax (Linnaeus, 1758)",Ardeidae,Nycticorax,nycticorax,Species,R,Whole year,240
390,Shanghai Century Park,Pudong New Area,121.554700,31.216500,"Gallinula chloropus (Linnaeus, 1758)",Rallidae,Gallinula,chloropus,Species,R,Whole year,240
390,Shanghai Century Park,Pudong New Area,121.554700,31.216500,"Stigmatopelia chinensis (Scopoli, 1768)",Columbidae,Stigmatopelia,chinensis,Species,R,Whole year,240
390,Shanghai Century Park,Pudong New Area,121.554700,31.216500,"Alcedo atthis (Linnaeus, 1758)",Alcedinidae,Alcedo,atthis,Species,R,Whole year,240
390,Shanghai Century Park,Pudong New Area,121.554700,31.216500,"Parus major (Linnaeus, 1758)",Paridae,Parus,major,Species,R,Whole year,240
