LocationID,Locality,ScientificName,Family,Genus,SpecificEpithet,TaxonRank,Bird_MigrantStatus,Bird_SurveyTime,SourceID
388,Shanghai Bay Forest Park,"Cettia canturians (Swinhoe, 1860)",Cettiidae,Cettia,canturians,Species,M,Whole year,240
388,Shanghai Bay Forest Park,"Cettia fortipes (Hodgson, 1845)",Cettiidae,Cettia,fortipes,Species,M,Whole year,240
388,Shanghai Bay Forest Park,"Acrocephalus arundinaceus (Linnaeus, 1758)",Acrocephalidae,Acrocephalus,arundinaceus,Species,M,Whole year,240
388,Shanghai Bay Forest Park,"Phylloscopus proregulus (Pallas, 1811)",Phylloscopidae,Phylloscopus,proregulus,Species,M,Whole year,240
388,Shanghai Bay Forest Park,"Phylloscopus inornatus (Blyth, 1842)",Phylloscopidae,Phylloscopus,inornatus,Species,M,Whole year,240
388,Shanghai Bay Forest Park,"Regulus regulus (Linnaeus, 1758)",Regulidae,Regulus,regulus,Species,R,Whole year,240
388,Shanghai Bay Forest Park,"Aegithalos concinnus (Gould, 1855)",Aegithalidae,Aegithalos,concinnus,Species,R,Whole year,240
388,Shanghai Bay Forest Park,"Aegithalos caudatus (Linnaeus, 1758)",Aegithalidae,Aegithalos,caudatus,Species,R,Whole year,240
388,Shanghai Bay Forest Park,"Passer montanus (Linnaeus, 1758)",Passeridae,Passer,montanus,Species,R,Whole year,240
388,Shanghai Bay Forest Park,"Lonchura punctulata (Linnaeus, 1758)",Estrildidae,Lonchura,punctulata,Species,R,Whole year,240
388,Shanghai Bay Forest Park,"Fringilla montifringilla (Linnaeus, 1758)",Fringillidae,Fringilla,montifringilla,Species,M,Whole year,240
388,Shanghai Bay Forest Park,"Carduelis sinica (Linnaeus, 1766)",Fringillidae,Carduelis,sinica,Species,R,Whole year,240
388,Shanghai Bay Forest Park,"Carduelis spinus (Linnaeus, 1758)",Fringillidae,Carduelis,spinus,Species,M,Whole year,240
388,Shanghai Bay Forest Park,"Eophona personata (Temminck & Schlegel, 1848)",Fringillidae,Eophona,personata,Species,M,Whole year,240
