LocationID,Locality,ScientificName,Family,Genus,SpecificEpithet,TaxonRank,GrowthForm,Plant_NativenessStatus,SourceID
39,"East China Normal University, Minhang Campus",Cupressus lusitanica Mill.,Cupressaceae,Cupressus,lusitanica,Species,Tree,Nonnative,48
39,"East China Normal University, Minhang Campus",Cycas revoluta Thunb.,Cycadaceae,Cycas,revoluta,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Deutzia ningpoensis Rehder,Hydrangeaceae,Deutzia,ningpoensis,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Diospyros kaki L.f.,Ebenaceae,Diospyros,kaki,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Distylium racemosum Siebold & Zucc.,Hamamelidaceae,Distylium,racemosum,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Edgeworthia tomentosa (Thunb.) Nakai,Thymelaeaceae,Edgeworthia,tomentosa,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Elaeagnus pungens Thunb.,Elaeagnaceae,Elaeagnus,pungens,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Elaeocarpus sylvestris (Lour.) Poir.,Elaeocarpaceae,Elaeocarpus,sylvestris,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Eriobotrya japonica (Thunb.) Lindl.,Rosaceae,Eriobotrya,japonica,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Eucommia ulmoides Oliv.,Eucommiaceae,Eucommia,ulmoides,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Euonymus japonicus Thunb.,Celastraceae,Euonymus,japonicus,Species,Shrub,Nonnative,48
39,"East China Normal University, Minhang Campus",Euonymus japonicus 'Marginatus',Celastraceae,Euonymus,japonicus,Cultivar,Shrub,Nonnative,48
39,"East China Normal University, Minhang Campus",Euonymus maackii Rupr.,Celastraceae,Euonymus,maackii,Species,Tree,Native,48
39,"East China Normal University, Minhang Campus",Exochorda racemosa (Lindl.) Rehder,Rosaceae,Exochorda,racemosa,Species,Shrub,Native,48
39,"East China Normal University, Minhang Campus",Farfugium japonicum (L.) Kitam.,Compositae,Farfugium,japonicum,Species,Herb,Native,48
